season,family,gid,plant,replicated,P_rachis_weight,soluble_solids
2020,jardin,G_Bogazkere,2,R3,2.1,19
2020,jardin,G_Bogazkere,3,R1,4.3,17
2020,jardin,G_Bogazkere,3,R2,3,13
2020,jardin,G_Bogazkere,3,R3,2.4,18
2020,jardin,G_Autumn.Seedless,1,R1,16.3,18
2020,jardin,G_Autumn.Seedless,1,R2,8.9,16
2020,jardin,G_Autumn.Seedless,1,R3,4.2,17
2020,jardin,G_Delizia.di.Vaprio,1,R1,6,20
2020,jardin,G_Delizia.di.Vaprio,1,R2,1.9,20
2020,jardin,G_Delizia.di.Vaprio,1,R3,4.1,20
2020,jardin,G_Delizia.di.Vaprio,2,R1,2.7,20
2020,jardin,G_Delizia.di.Vaprio,2,R2,2.9,20
2020,jardin,G_Delizia.di.Vaprio,2,R3,1.9,21
2020,jardin,G_Delizia.di.Vaprio,3,R1,2.9,20
2020,jardin,G_Voskeat,1,R1,3.8,17
2020,jardin,G_Voskeat,1,R2,5.6,17
2020,jardin,G_Voskeat,1,R3,3.6,16
2020,jardin,G_Voskeat,2,R1,6.2,18
2020,jardin,G_Voskeat,2,R2,5.4,19
2020,jardin,G_Voskeat,2,R3,4,19
2020,jardin,G_Voskeat,3,R1,2.9,19
2020,jardin,G_Voskeat,3,R2,3.4,18
2020,jardin,G_Voskeat,3,R3,2.6,19
2020,jardin,G_Olivette,1,R1,3.9,21
2020,jardin,G_Olivette,1,R2,4.6,15
2020,jardin,G_Olivette,1,R3,1.6,19
2020,jardin,G_Olivette,2,R1,1.6,23
2020,jardin,G_Olivette,2,R2,4.6,23
2020,jardin,G_Olivette,2,R3,4.4,21
2020,jardin,G_Olivette,3,R1,2.6,14
2020,jardin,G_Olivette,3,R2,6.2,13
2020,jardin,G_Plant.de.Maroc,1,R1,4.5,17
2020,jardin,G_Plant.de.Maroc,1,R2,4.3,18
2020,jardin,G_Plant.de.Maroc,1,R3,5.6,17
2020,jardin,G_Plant.de.Maroc,2,R1,10.5,18
2020,jardin,G_Plant.de.Maroc,2,R2,10.5,NA
2020,jardin,G_Plant.de.Maroc,2,R3,3.5,NA
2020,jardin,G_Cesar,1,R1,4.7,18
2020,jardin,G_Cesar,1,R2,3.2,18
2020,jardin,G_Cesar,1,R3,3.5,17
2020,jardin,G_Cesar,2,R1,4,17
2020,jardin,G_Cesar,2,R2,4.8,17
2020,jardin,G_Cesar,2,R3,2.4,17
2020,jardin,G_Cesar,3,R1,3.7,18
2020,jardin,G_Cesar,3,R2,2,17
2020,jardin,G_Cesar,3,R3,3.2,17
2020,jardin,G_Seleccion.5,1,R1,8.1,22
2020,jardin,G_Seleccion.5,1,R2,1.5,19
2020,jardin,G_Seleccion.5,1,R3,4.1,23
2020,jardin,G_Seleccion.5,2,R1,11.5,22
2020,jardin,G_Seleccion.5,2,R2,2.3,22
2020,jardin,G_Seleccion.5,2,R3,6.5,23
2020,jardin,G_Seleccion.5,3,R1,4.6,22
2020,jardin,G_Seleccion.5,3,R2,3.1,23
2020,jardin,G_Seleccion.5,3,R3,5.4,23
2020,jardin,G_Varadi,1,R1,6.1,15
2020,jardin,G_Varadi,1,R2,4.7,14
2020,jardin,G_Varadi,1,R3,3,14
2020,jardin,G_Varadi,2,R1,5.6,13
2020,jardin,G_Varadi,2,R2,3.7,16
2020,jardin,G_Varadi,2,R3,10.3,16
2020,jardin,G_Varadi,3,R1,13,15
2020,jardin,G_Varadi,3,R2,6.9,14
2020,jardin,G_Varadi,3,R3,4.1,14
2020,jardin,G_Arna.Guirna,1,R1,3,18
2020,jardin,G_Arna.Guirna,1,R2,6.2,15
2020,jardin,G_Arna.Guirna,1,R3,2.6,12
2020,jardin,G_Arna.Guirna,2,R1,3.3,17
2020,jardin,G_Arna.Guirna,2,R2,5.3,14
2020,jardin,G_Arna.Guirna,2,R3,4.6,16
2020,jardin,G_Arna.Guirna,3,R1,4,16
2020,jardin,G_Arna.Guirna,3,R2,3.4,14
2020,jardin,G_Arna.Guirna,3,R3,4.2,14
2020,jardin,G_Uva.Rey,1,R1,16.7,15
2020,jardin,G_Uva.Rey,1,R2,4.8,17
2020,jardin,G_Uva.Rey,1,R3,9.2,16
2020,jardin,G_Uva.Rey,2,R1,6.4,17
2020,jardin,G_Uva.Rey,2,R2,7.8,18
2020,jardin,G_Uva.Rey,2,R3,5.3,17
2020,jardin,G_Uva.Rey,3,R1,3.7,17
2020,jardin,G_Uva.Rey,3,R2,3.5,18
2020,jardin,G_Uva.Rey,3,R3,4.8,17
2020,jardin,G_Emperor,1,R1,2.8,13
2020,jardin,G_Emperor,1,R2,2.9,14
2020,jardin,G_Emperor,1,R3,3.3,14
2020,jardin,G_Emperor,2,R1,7.1,16
2020,jardin,G_Emperor,2,R2,3.7,14
2020,jardin,G_Emperor,2,R3,3.8,14
2020,jardin,G_Emperor,3,R1,2,16
2020,jardin,G_Emperor,3,R2,3.5,15
2020,jardin,G_Emperor,3,R3,2.4,16
2020,jardin,G_Blush,1,R1,9.8,13
2020,jardin,G_Blush,1,R2,14.2,17
2020,jardin,G_Blush,1,R3,7.5,15
2020,jardin,G_Blush,2,R1,5.4,15
2020,jardin,G_Blush,2,R2,1.8,15
2020,jardin,G_Blush,2,R3,3.6,15
2020,jardin,G_Blush,3,R1,2.9,16
2020,jardin,G_Blush,3,R2,4.4,16
2020,jardin,G_Blush,3,R3,4.8,17
2020,jardin,G_K.Belyi,1,R1,6.4,16
2020,jardin,G_K.Belyi,1,R2,6.8,16
2020,jardin,G_K.Belyi,1,R3,7.3,15
2020,jardin,G_AK.ouziom,1,R1,3,20
2020,jardin,G_AK.ouziom,1,R2,6.4,19
2020,jardin,G_AK.ouziom,1,R3,2.1,18
2020,jardin,G_AK.ouziom,2,R1,15.1,17
2020,jardin,G_AK.ouziom,3,R1,9.2,20
2020,jardin,G_Orlovi.Nokti,1,R1,3.5,16
2020,jardin,G_Orlovi.Nokti,1,R1,3.5,20
2020,jardin,G_Orlovi.Nokti,1,R2,2.6,16
2020,jardin,G_Orlovi.Nokti,1,R2,2.6,20
2020,jardin,G_Orlovi.Nokti,1,R3,4.1,18
2020,jardin,G_Orlovi.Nokti,1,R3,4.1,20
2020,jardin,G_Orlovi.Nokti,2,R1,5.3,17
2020,jardin,G_Orlovi.Nokti,2,R1,5.3,21
2020,jardin,G_Orlovi.Nokti,2,R2,3.8,16
2020,jardin,G_Orlovi.Nokti,2,R2,3.8,20
2020,jardin,G_Orlovi.Nokti,3,R3,3.5,18
2020,jardin,G_Orlovi.Nokti,3,R3,3.5,21
2020,jardin,G_Orlovi.Nokti,3,R1,4.5,18
2020,jardin,G_Orlovi.Nokti,3,R1,4.5,20
2020,jardin,G_Orlovi.Nokti,3,R2,2.1,16
2020,jardin,G_Orlovi.Nokti,3,R2,2.1,20
2020,jardin,G_Orlovi.Nokti,3,R3,2.9,18
2020,jardin,G_Orlovi.Nokti,3,R3,2.9,21
2020,jardin,G_Medouar,1,R1,7.2,15
2020,jardin,G_Medouar,1,R2,5.2,15
2020,jardin,G_Medouar,1,R3,3.5,15
2020,jardin,G_Medouar,2,R1,6.2,12
2020,jardin,G_Medouar,2,R2,4.1,14
2020,jardin,G_Medouar,2,R3,7.9,13
2020,jardin,G_Medouar,3,R1,7.7,13
2020,jardin,G_Medouar,3,R2,4.2,13
2020,jardin,G_Medouar,3,R3,5.5,13
2020,jardin,G_Korithi,1,R1,7,19
2020,jardin,G_Korithi,1,R2,4.4,18
2020,jardin,G_Korithi,1,R3,14.7,17
2020,jardin,G_Korithi,2,R1,6.6,17
2020,jardin,G_Korithi,2,R2,5.7,17
2020,jardin,G_Korithi,2,R3,9.8,15
2020,jardin,G_San.Francisco,1,R1,6.6,15
2020,jardin,G_San.Francisco,1,R2,4.9,16
2020,jardin,G_San.Francisco,1,R3,2.2,15
2020,jardin,G_San.Francisco,2,R1,10.7,17
2020,jardin,G_San.Francisco,2,R2,5.2,14
2020,jardin,G_San.Francisco,2,R3,10.9,14
2020,jardin,G_San.Francisco,3,R1,8.8,13
2020,jardin,G_San.Francisco,3,R2,5.4,16
2020,jardin,G_San.Francisco,3,R3,10.2,15
2020,jardin,G_Italia,1,R1,3.8,NA
2020,jardin,G_Italia,1,R2,4.3,NA
2020,jardin,G_Italia,1,R3,5.4,NA
2020,jardin,G_Italia,2,R1,1.2,NA
2020,jardin,G_Italia,2,R2,3.6,NA
2020,jardin,G_Italia,2,R3,4.1,NA
2020,jardin,G_Autumn.Royal,1,R1,2.8,17
2020,jardin,G_Autumn.Royal,1,R2,6.2,16
2020,jardin,G_Autumn.Royal,1,R3,10,19
2020,jardin,G_Autumn.Royal,2,R1,0.9,20
2020,jardin,G_Autumn.Royal,2,R2,1,21
2020,jardin,G_Autumn.Royal,2,R3,2.2,22
2020,jardin,G_Autumn.Royal,3,R1,7.8,17
2020,jardin,G_Autumn.Royal,3,R2,19.1,16
2020,jardin,G_Autumn.Royal,3,R3,10.3,16
2020,jardin,G_Red,1,R1,8.2,10
2020,jardin,G_Red,1,R2,10.5,10
2020,jardin,G_Red,1,R3,8.7,10
2020,jardin,G_Red,2,R1,5.8,10
2020,jardin,G_Red,2,R2,10.6,12
2020,jardin,G_Red,2,R3,15.3,11
2020,jardin,G_Red,3,R1,7.7,12
2020,jardin,G_Red,3,R2,4.6,11
2020,jardin,G_Red,3,R3,5.6,13
2020,jardin,G_Titsa.Kaprei,1,R1,10.7,14
2020,jardin,G_Titsa.Kaprei,1,R2,9,14
2020,jardin,G_Titsa.Kaprei,1,R3,5.9,14
2020,jardin,G_Titsa.Kaprei,2,R1,8.8,15
2020,jardin,G_Titsa.Kaprei,2,R2,19.9,13
2020,jardin,G_Titsa.Kaprei,2,R3,16.8,13
2020,jardin,G_Titsa.Kaprei,3,R1,11.7,15
2020,jardin,G_Titsa.Kaprei,3,R2,7.7,14
2020,jardin,G_Titsa.Kaprei,3,R3,6.8,15
2020,jardin,G_Agourane,1,R1,4.6,17
2020,jardin,G_Agourane,1,R2,8.4,15
2020,jardin,G_Agourane,2,R1,8,17
2020,jardin,G_Agourane,2,R2,7.1,16
2020,jardin,G_Agourane,2,R3,5.8,15
2020,jardin,G_Espadeiro.Tinto,1,R1,4.3,19
2020,jardin,G_Espadeiro.Tinto,1,R2,3.8,19
2020,jardin,G_Espadeiro.Tinto,1,R3,2.9,17
2020,jardin,G_Espadeiro.Tinto,2,R1,2.7,17
2020,jardin,G_Espadeiro.Tinto,2,R2,3.6,19
2020,jardin,G_Espadeiro.Tinto,2,R3,3.7,19
2020,jardin,G_Espadeiro.Tinto,3,R1,3.6,19
2020,jardin,G_Espadeiro.Tinto,3,R2,2.1,20
2020,jardin,G_Espadeiro.Tinto,3,R3,3.4,19
2020,jardin,G_Kapistroni.tetri,1,R1,1.4,15
2020,jardin,G_Kapistroni.tetri,1,R2,4.5,17
2020,jardin,G_Kapistroni.tetri,1,R3,3.7,13
2020,jardin,G_Kapistroni.tetri,2,R1,5.7,16
2020,jardin,G_Kapistroni.tetri,2,R2,9.9,15
2020,jardin,G_Kapistroni.tetri,3,R1,4.2,13
2020,jardin,G_Kapistroni.tetri,3,R2,3.3,13
2020,jardin,G_Kapistroni.tetri,3,R3,4.2,13
2020,jardin,G_Tsolikouri,1,R1,3.9,17
2020,jardin,G_Tsolikouri,1,R2,6.1,21
2020,jardin,G_Tsolikouri,1,R3,4.4,19
2020,jardin,G_Tsolikouri,2,R1,3.9,22
2020,jardin,G_Tsolikouri,2,R2,5,16
2020,jardin,G_Tsolikouri,2,R3,4.9,13
2020,jardin,G_Tsolikouri,3,R1,5.5,19
2020,jardin,G_Tsolikouri,3,R2,2.6,21
2020,jardin,G_Tsolikouri,3,R3,2.2,22
2020,jardin,G_Maravilla.de.Malaga,1,R1,6.9,18
2020,jardin,G_Maravilla.de.Malaga,1,R2,5,23
2020,jardin,G_Maravilla.de.Malaga,1,R3,3.6,23
2020,jardin,G_Maravilla.de.Malaga,2,R1,4.5,21
2020,jardin,G_Maravilla.de.Malaga,2,R2,6.5,17
2020,jardin,G_Maravilla.de.Malaga,2,R3,7.3,16
2020,jardin,G_Variete.d.oasis.bou.chemma,1,R1,22,20
2020,jardin,G_Variete.d.oasis.bou.chemma,1,R2,11.3,21
2020,jardin,G_Variete.d.oasis.bou.chemma,2,R1,23.2,20
2020,jardin,G_Variete.d.oasis.bou.chemma,3,R1,10.2,17
2020,jardin,G_Variete.d.oasis.bou.chemma,3,R2,6.2,17
2020,jardin,G_Variete.d.oasis.bou.chemma,3,R3,6.7,17
2020,jardin,G_Sultanina.Monococo,1,R1,8.8,24
2020,jardin,G_Sultanina.Monococo,1,R2,12.9,24
2020,jardin,G_Sultanina.Monococo,2,R1,5.5,24
2020,jardin,G_Sultanina.Monococo,2,R2,14.3,25
2020,jardin,G_Sultanina.Monococo,3,R1,10.5,23
2020,jardin,G_Exotic,1,R1,8.4,18
2020,jardin,G_Exotic,1,R2,8.1,18
2020,jardin,G_Exotic,1,R3,14,16
2020,jardin,G_Exotic,2,R1,14.4,15
2020,jardin,G_Exotic,2,R2,7.8,16
2020,jardin,G_Exotic,3,R1,17.3,16
2020,jardin,G_Exotic,3,R2,10.2,13
2020,jardin,G_Calmeria,1,R1,5.1,22
2020,jardin,G_Calmeria,1,R2,2.7,21
2020,jardin,G_Calmeria,1,R3,4.5,22
2020,jardin,G_Calmeria,2,R1,7.3,20
2020,jardin,G_Calmeria,2,R2,5.4,20
2020,jardin,G_Calmeria,2,R3,9.7,21
2020,jardin,G_Calmeria,3,R1,3.4,19
2020,jardin,G_Calmeria,3,R2,2.2,19
2020,jardin,G_Calmeria,3,R3,4.6,19
2020,jardin,G_Gros.Colman,1,R1,4.6,16
2020,jardin,G_Gros.Colman,1,R2,5.2,17
2020,jardin,G_Gros.Colman,1,R3,4.4,16
2020,jardin,G_Alburla,1,R1,4.7,19
2020,jardin,G_Alburla,1,R2,3.1,19
2020,jardin,G_Alburla,1,R3,5.2,21
2020,jardin,G_Alburla,2,R1,5.1,19
2020,jardin,G_Alburla,2,R2,4.5,17
2020,jardin,G_Alburla,2,R3,3.8,18
2020,jardin,G_Alburla,3,R1,3.4,17
2020,jardin,G_Alburla,3,R2,3.9,16
2020,jardin,G_Alburla,3,R3,2,18
2020,jardin,G_Tandaya,1,R1,7.4,20
2020,jardin,G_Tandaya,1,R2,7.9,18
2020,jardin,G_Tandaya,1,R3,6.6,20
2020,jardin,G_Orlovi.Nokti,1,R1,2.6,16
2020,jardin,G_Orlovi.Nokti,1,R1,2.6,20
2020,jardin,G_Orlovi.Nokti,1,R2,4.6,16
2020,jardin,G_Orlovi.Nokti,1,R2,4.6,20
2020,jardin,G_Orlovi.Nokti,1,R3,3.7,18
2020,jardin,G_Orlovi.Nokti,1,R3,3.7,20
2020,jardin,G_Orlovi.Nokti,2,R1,2.8,17
2020,jardin,G_Orlovi.Nokti,2,R1,2.8,21
2020,jardin,G_Orlovi.Nokti,2,R2,3.6,16
2020,jardin,G_Orlovi.Nokti,2,R2,3.6,20
2020,jardin,G_Orlovi.Nokti,2,R3,4,17
2020,jardin,G_Orlovi.Nokti,2,R3,4,19
2020,jardin,G_Orlovi.Nokti,3,R1,2.3,18
2020,jardin,G_Orlovi.Nokti,3,R1,2.3,20
2020,jardin,G_Orlovi.Nokti,3,R2,2.4,16
2020,jardin,G_Orlovi.Nokti,3,R2,2.4,20
2020,jardin,G_Orlovi.Nokti,3,R3,1.9,18
2020,jardin,G_Orlovi.Nokti,3,R3,1.9,21
